target,unified_ID,Annotated_ID,cancer_related,Paper_cancer,validation,Paper_validation,group,LN18.lfc,LN229.lfc,A549.lfc,NCIH460.lfc,KP4.lfc,MIAPACA2.lfc
human_lncrna_fused_7903,human_lncrna_fused_7903,HSALNG0011419,NO,,,,LN18,-1.2585,-0.9025,-0.23486,-0.68264,-0.36046500000000004,-0.37154
human_lncrna_fused_79033,human_lncrna_fused_79033,ENSG00000231760,NO,,,,LN18,-1.1198000000000001,-0.046345,-0.4984405,-0.9622160000000001,-0.47836500000000004,-0.751695
human_lncrna_fused_79091,human_lncrna_fused_79091,Lnc-AKAP12-1,NO,,,,Common essential,-1.19863,-0.27062,-0.02551500000000001,0.569215,-3.0052000000000003,-0.63363405
human_lncrna_fused_79943,human_lncrna_fused_79943,HSALNG0055453,NO,,,,Common essential,-0.75275,-0.3899745,-0.35925,-0.5454749999999999,-0.914655,-0.39309
human_lncrna_fused_80240,human_lncrna_fused_80240,lnc-RBAK-RBAKDN-2,NO,,,,Common essential,-1.362995,-1.494915,-0.312455,0.3445045,-2.4077,-1.70965
human_lncrna_fused_8036,human_lncrna_fused_8036,COA6-AS1,NO,,,,KP4,-0.18091500000000002,-0.934725,-0.706375,-0.591075,-1.12033,-0.430936
human_lncrna_fused_81132,human_lncrna_fused_81132,HSALNG0057187,NO,,,,MIAPACA2,-0.031204500000000003,0.38953999999999994,-0.074575,-0.68998,-0.15005500000000002,-1.1132
human_lncrna_fused_81623,human_lncrna_fused_81623,Lnc-PKD1L1-1,NO,,,,KP4,-0.28064500000000003,-0.338505,0.42125500000000005,0.42374500000000004,-1.9207,-0.789045
human_lncrna_fused_82491,human_lncrna_fused_82491,NONHSAG047973.2,NO,,,,Common essential,-2.28535,-2.5617,-0.251741,0.37897,-3.2127999999999997,-0.2431735
human_lncrna_fused_82494,human_lncrna_fused_82494,HSALNG0058948,NO,,,,Common essential,-2.4455,-1.2465199999999999,0.09057999999999997,0.33604,-1.14358,-0.8195825
human_lncrna_fused_82523,human_lncrna_fused_82523,lnc-TRIM73-2,NO,,,,Common essential,-2.1161,-1.1287,-0.285515,0.5031,-1.3585500000000001,-0.82688
human_lncrna_fused_82583,human_lncrna_fused_82583,HSALNG0059092,NO,,,,Common essential,-3.51485,-1.466045,-0.57092,-2.00025,0.29614,0.11279150000000002
human_lncrna_fused_82759,human_lncrna_fused_82759,ENSG00000232019;SNHG7;offtarget,YES,https://pubmed.ncbi.nlm.nih.gov/34714775/;https://pubmed.ncbi.nlm.nih.gov/34714775/;https://pubmed.ncbi.nlm.nih.gov/32049793/;https://pubmed.ncbi.nlm.nih.gov/35405116/;https://pubmed.ncbi.nlm.nih.gov/34709112/;https://pubmed.ncbi.nlm.nih.gov/33074217/,YES,https://pubmed.ncbi.nlm.nih.gov/33738672/;https://pubmed.ncbi.nlm.nih.gov/32444795/;https://pubmed.ncbi.nlm.nih.gov/31793741/;https://pubmed.ncbi.nlm.nih.gov/31773679/;https://pubmed.ncbi.nlm.nih.gov/30527358/;https://pubmed.ncbi.nlm.nih.gov/30536320/;https://pubmed.ncbi.nlm.nih.gov/29771415/;https://pubmed.ncbi.nlm.nih.gov/29571017/;https://pubmed.ncbi.nlm.nih.gov/29360452/;https://pubmed.ncbi.nlm.nih.gov/29131253/;https://pubmed.ncbi.nlm.nih.gov/32397799/;https://pubmed.ncbi.nlm.nih.gov/32275170/;https://pubmed.ncbi.nlm.nih.gov/31721543/;https://pubmed.ncbi.nlm.nih.gov/31378900/;https://pubmed.ncbi.nlm.nih.gov/31210313/;https://pubmed.ncbi.nlm.nih.gov/29989838/;https://pubmed.ncbi.nlm.nih.gov/27666964/;https://pubmed.ncbi.nlm.nih.gov/32720593/,Common essential,-3.557785,-0.052485000000000004,-0.19417500000000001,-0.3272179,-0.8550895,-2.4163550000000003
human_lncrna_fused_82956,human_lncrna_fused_82956,HSALNG0059652,NO,,,,Common essential,-0.528975,-0.125485,-0.4132305,-0.0028935000000000002,-1.05021,-1.3134000000000001
human_lncrna_fused_83149,human_lncrna_fused_83149,HSALNG0059997,NO,,,,Common essential,-2.11903,-3.1498999999999997,-0.49048250000000004,0.111902,-2.4553,-1.025015
human_lncrna_fused_83298,human_lncrna_fused_83298,LINC01004,YES,,YES,https://pubmed.ncbi.nlm.nih.gov/35490653/,Common essential,-2.25962,-2.99185,-0.283335,0.61024,-2.47925,-0.8640450000000001
human_lncrna_fused_83996,human_lncrna_fused_83996,LINC-PINT,YES,https://pubmed.ncbi.nlm.nih.gov/35019222/,,,Common essential,-2.8564999999999996,-6.2303999999999995,0.0036548499999999994,-0.090332,-4.43705,-1.175525
human_lncrna_fused_84023,human_lncrna_fused_83996,LINC-PINT,YES,https://pubmed.ncbi.nlm.nih.gov/35019222/,,,Common essential,-2.8564999999999996,-6.2303999999999995,0.0036548499999999994,-0.090332,-4.43705,-1.175525
human_lncrna_fused_84220,human_lncrna_fused_84220,HSALNG0061721,NO,,,,Common essential,-0.4657825,-0.70094,-1.05815,-1.608535,-0.451875,-1.6465
human_lncrna_fused_86884,human_lncrna_fused_86884,HSALNG0065463,NO,,,,Common essential,0.36315600000000003,0.04200499999999999,-0.196325,-0.850895,-0.8574550000000001,0.40357
human_lncrna_fused_87258,human_lncrna_fused_87258,LINC01592,YES,,YES,https://pubmed.ncbi.nlm.nih.gov/34032608/,KP4,0.14356999999999998,0.29723,-0.1880615,-0.0629895,-1.08696,-0.5969949999999999
human_lncrna_fused_87260,human_lncrna_fused_87260,lnc-C8orf34-1,NO,,,,Common essential,-0.8065450000000001,-0.48311000000000004,-0.22476999999999997,0.026637,-1.04954,-1.00258
human_lncrna_fused_88961,human_lncrna_fused_88961,PVT1,YES,https://pubmed.ncbi.nlm.nih.gov/34859371/;https://pubmed.ncbi.nlm.nih.gov/34033197/;https://pubmed.ncbi.nlm.nih.gov/33947142/;https://pubmed.ncbi.nlm.nih.gov/33600954/;https://pubmed.ncbi.nlm.nih.gov/33443959/;https://pubmed.ncbi.nlm.nih.gov/31986409/;https://pubmed.ncbi.nlm.nih.gov/31326971/;https://pubmed.ncbi.nlm.nih.gov/31297833/;https://pubmed.ncbi.nlm.nih.gov/30909189/,YES,https://pubmed.ncbi.nlm.nih.gov/35664988/;https://pubmed.ncbi.nlm.nih.gov/34922601/;https://pubmed.ncbi.nlm.nih.gov/33369809/;https://pubmed.ncbi.nlm.nih.gov/33188158/;https://pubmed.ncbi.nlm.nih.gov/32725807/;https://pubmed.ncbi.nlm.nih.gov/32689767/;https://pubmed.ncbi.nlm.nih.gov/32441301/;https://pubmed.ncbi.nlm.nih.gov/32407172/;https://pubmed.ncbi.nlm.nih.gov/31485648/;https://pubmed.ncbi.nlm.nih.gov/31322217/;https://pubmed.ncbi.nlm.nih.gov/31222482/,Common essential,-0.6547350000000001,-1.67565,-1.117365,-0.519595,-3.9476500000000003,-0.855915
human_lncrna_fused_88965,human_lncrna_fused_88961,PVT1,YES,https://pubmed.ncbi.nlm.nih.gov/34859371/;https://pubmed.ncbi.nlm.nih.gov/34033197/;https://pubmed.ncbi.nlm.nih.gov/33947142/;https://pubmed.ncbi.nlm.nih.gov/33600954/;https://pubmed.ncbi.nlm.nih.gov/33443959/;https://pubmed.ncbi.nlm.nih.gov/31986409/;https://pubmed.ncbi.nlm.nih.gov/31326971/;https://pubmed.ncbi.nlm.nih.gov/31297833/;https://pubmed.ncbi.nlm.nih.gov/30909189/,YES,https://pubmed.ncbi.nlm.nih.gov/35664988/;https://pubmed.ncbi.nlm.nih.gov/34922601/;https://pubmed.ncbi.nlm.nih.gov/33369809/;https://pubmed.ncbi.nlm.nih.gov/33188158/;https://pubmed.ncbi.nlm.nih.gov/32725807/;https://pubmed.ncbi.nlm.nih.gov/32689767/;https://pubmed.ncbi.nlm.nih.gov/32441301/;https://pubmed.ncbi.nlm.nih.gov/32407172/;https://pubmed.ncbi.nlm.nih.gov/31485648/;https://pubmed.ncbi.nlm.nih.gov/31322217/;https://pubmed.ncbi.nlm.nih.gov/31222482/,Common essential,-0.6547350000000001,-1.67565,-1.117365,-0.519595,-3.9476500000000003,-0.855915
