Functionality	H3F3A	H3K20me1	H3K23ac	H3K27ac	H3K36me3	H3K4me1	H3K4me3	H3K79me1	 H3K79me2	H3K9ac	H3K9me3	H4K4me2
No	0	0	0	2.69557	0	0	0	0	0	0	0	0
No	0	0	0	18.5995	0	0.0335376	0	0	0	0	0	0
No	0	0	0	0	2.20511	5.41596	0	0	0	0	0	0
No	0	0	0	2.90092	0	6.45036	0	0	0	0	56.9757	0
No	0	0	0	2.90092	0	6.45036	0	0	0	0	56.9757	0
No	0	0	0	97.2443	9.28763	23.0503	0	0	0	0	0	0
No	55.4928	7.17741	0	9312.22	39.7675	1263.42	2363.15	0.4699	1.12264	1246.03	0	984.771
Yes	5.99281	3.70716	9.03697	16338.9	1.67512	39.4267	5122.38	0.95086	0	2816.71	0	735.813
No	46.1756	11.3219	2.4258	16706.5	0	151.275	11088.6	2.51354	0	3290.93	5.77776	1240.69
No	4.04858	0	0	880.972	60.2527	224.238	6881.74	0	0	224.218	0	488.366
No	0	0	0	0	0	0	0	0	0	0	0	0
No	0	0	0	2.49684	30.9557	0	0	0	0	0	1.77854	0
Yes	0	0	0	0	14.1063	0	0	0	0	0	72.4844	0
No	0	0	0	22.8825	857.728	26.9217	1.72524	0	0	0	429.828	0
No	0	0	0	18.9855	847.7	0	0	0	0	0	169.477	0
No	3.34951	0	12.4474	1163.98	7.63187	157.601	0	11.005	9.14964	0	27.1583	0
No	0	0	0	0	0	0	0	0	0	0	17.409	0
No	0	0	0	0	0	0	0	0	0	0	17.409	0
No	0	0	0	0	0	0	0	0	0	0	17.409	0
No	0	0	0	0	13.6121	0	0	0	0	0	0	0
No	0	0	0	0	13.6121	0	0	0	0	0	0	0
No	0	0	0	0	13.6121	0	0	0	0	0	0	0
Yes	2.66555	0	0	16604.2	3401.26	2472.21	37553.1	0	0	340.245	810.989	686.694
Yes	2.66555	0	0	16604.2	3401.26	2472.21	37553.1	0	0	340.245	810.989	686.694
Yes	2.66555	0	0	16604.2	3401.26	2472.21	37553.1	0	0	340.245	810.989	686.694
No	0	0	0	1102.11	8.00609	4.03257	8049.89	0	0	34.1899	12.2718	105.904
No	0	0	0	846.83	0	14.4313	7427.86	0	0	0	48.624	196.418
No	0	0	0	846.83	0	14.4313	7427.86	0	0	0	48.624	196.418
No	0	0	0	846.83	0	14.4313	7427.86	0	0	0	48.624	196.418
No	0	0	0	515.758	44.4967	0	25.6598	0	0	0	88.2795	0
No	0	0	0	515.758	44.4967	0	25.6598	0	0	0	88.2795	0
No	0	0	0	515.758	44.4967	0	25.6598	0	0	0	88.2795	0
No	0	0	0	515.758	44.4967	0	25.6598	0	0	0	88.2795	0
No	0	0	0	515.758	44.4967	0	25.6598	0	0	0	88.2795	0
No	0	0	0	515.758	44.4967	0	25.6598	0	0	0	88.2795	0
No	0	0	0	515.758	44.4967	0	25.6598	0	0	0	88.2795	0
No	0	0	0	22.6007	0	68.657	0	0	0	0	0	9.78759
No	0	0	0	22.6007	0	68.657	0	0	0	0	0	9.78759
No	0	0	0	22.6007	0	68.657	0	0	0	0	0	9.78759
Yes	0	5.13617	0	5.029	20.3467	3.81758	0	0	0	0	0	0
Yes	0	15.5736	0	0	2353.21	32.7673	2930.47	0	0	0	512.517	111.425
Yes	0	15.5736	0	0	2353.21	32.7673	2930.47	0	0	0	512.517	111.425
Yes	0	15.5736	0	0	2353.21	32.7673	2930.47	0	0	0	512.517	111.425
Yes	0	15.5736	0	0	2353.21	32.7673	2930.47	0	0	0	512.517	111.425
Yes	0	15.5736	0	0	2353.21	32.7673	2930.47	0	0	0	512.517	111.425
Yes	0	15.5736	0	0	2353.21	32.7673	2930.47	0	0	0	512.517	111.425
Yes	0	15.5736	0	0	2353.21	32.7673	2930.47	0	0	0	512.517	111.425
Yes	0	0	0	1561.89	742.817	497.863	1255.26	0	0	0	121.014	72.8287
Yes	0	0	0	1561.89	742.817	497.863	1255.26	0	0	0	121.014	72.8287
Yes	0	0	0	20.8719	0	33.1377	412.615	0	0	0	0	89.2266
No	0	0	0	40.7229	0	2799.98	7002.35	0	0	135.815	590.067	463.531
No	0	0	0	40.7229	0	2799.98	7002.35	0	0	135.815	590.067	463.531
No	0	0	0	40.7229	0	2799.98	7002.35	0	0	135.815	590.067	463.531
No	0	0	0	40.7229	0	2799.98	7002.35	0	0	135.815	590.067	463.531
No	0	0	0	40.7229	0	2799.98	7002.35	0	0	135.815	590.067	463.531
No	0	0	0	40.7229	0	2799.98	7002.35	0	0	135.815	590.067	463.531
No	0	0	0	40.7229	0	2799.98	7002.35	0	0	135.815	590.067	463.531
No	0	0	0	34.6571	0	50.2948	0	0	0	0	19.6029	32.1534
No	0	0	0	3.31513	0	0	0	0	0	0	0	0
No	0	0	0	0.664567	58.441	0	0	0	0	0	259.477	0
No	0	0	0	0	0	0	0	0	0	0	8.57889	0
No	0	0	0	0	0	0	0	0	0	0	8.57889	0
No	0	0	0	0	0	0	0	0	0	0	8.57889	0
No	0	0	0	0	0	0	0	0	0	0	8.3721	0
No	0	0	0	0	0	0	0	0	0	0	0	0
No	0	0	0	0	0	0	0	0	0	0	0	0
No	0	0	0	0	0	0	0	0	0	0	0	0
